t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
11.6000,235.0262,58.1150,236.2869,58.8863,1.4780,-1.9153,6.4233,-1.4507
11.8000,234.4202,57.6176,235.6722,58.5054,1.5348,-1.9772,6.4973,-1.4554
12.0000,233.8197,57.0634,235.0617,58.0666,1.5966,-2.0413,6.5705,-1.4591
12.2000,233.2252,56.4528,234.4560,57.5705,1.6625,-2.1076,6.6430,-1.4619
12.4000,232.6375,55.7866,233.8557,57.0177,1.7320,-2.1759,6.7145,-1.4636
12.6000,232.0570,55.0653,233.2615,56.4087,1.8043,-2.2463,6.7850,-1.4643
12.8000,231.4844,54.2896,232.6738,55.7439,1.8787,-2.3187,6.8543,-1.4639
13.0000,230.9202,53.4604,232.0934,55.0241,1.9549,-2.3929,6.9223,-1.4625
13.2000,230.3649,52.5784,231.5206,54.2500,2.0323,-2.4689,6.9889,-1.4599
13.4000,229.8192,51.6445,230.9563,53.4223,2.1104,-2.5467,7.0539,-1.4563
13.6000,229.2835,50.6597,230.4008,52.5420,2.1890,-2.6261,7.1173,-1.4515
13.8000,228.7583,49.6248,229.8547,51.6098,2.2676,-2.7071,7.1789,-1.4456
14.0000,228.2443,48.5410,229.3186,50.6266,2.3460,-2.7896,7.2386,-1.4386
14.2000,227.7419,47.4093,228.7929,49.5933,2.4238,-2.8735,7.2963,-1.4304
14.4000,227.2515,46.2308,228.2783,48.5111,2.5009,-2.9588,7.3518,-1.4210
14.6000,226.7738,45.0067,227.7752,47.3810,2.5769,-3.0453,7.4051,-1.4104
14.8000,226.3091,43.7381,227.2841,46.2041,2.6518,-3.1329,7.4561,-1.3985
15.0000,225.8579,42.4264,226.8055,44.9813,2.7250,-3.2216,7.5045,-1.3855
15.2000,225.4206,41.0728,226.3399,43.7145,2.7971,-3.3112,7.5504,-1.3713
15.4000,224.9978,39.6787,225.8877,42.4043,2.8672,-3.4017,7.5936,-1.3558
15.6000,224.5897,38.2454,225.4493,41.0521,2.9353,-3.4930,7.6340,-1.3390
15.8000,224.1969,36.7744,225.0253,39.6593,3.0015,-3.5849,7.6715,-1.3211
16.0000,223.8197,35.2671,224.6160,38.2273,3.0655,-3.6773,7.7060,-1.3018
16.2000,223.4584,33.7250,224.2218,36.7576,3.1272,-3.7702,7.7375,-1.2814
16.4000,223.1134,32.1496,223.8431,35.2514,3.1865,-3.8634,7.7658,-1.2597
16.6000,222.7852,30.5425,223.4803,33.7104,3.2433,-3.9568,7.7908,-1.2367
16.8000,222.4739,28.9052,223.1337,32.1360,3.2975,-4.0502,7.8125,-1.2126
17.0000,222.1799,27.2394,222.8038,30.5299,3.3491,-4.1436,7.8308,-1.1872
17.2000,221.9035,25.5468,222.4907,28.8935,3.3979,-4.2368,7.8457,-1.1607
17.4000,221.6449,23.8289,222.1948,27.2285,3.4438,-4.3297,7.8570,-1.1330
17.6000,221.4045,22.0875,221.9165,25.5366,3.4869,-4.4222,7.8648,-1.1041
17.8000,221.1824,20.3243,221.6560,23.8194,3.5270,-4.5141,7.8689,-1.0741
18.0000,220.9789,18.5410,221.4134,22.0786,3.5642,-4.6053,7.8694,-1.0430
18.2000,220.7941,16.7395,221.1892,20.3160,3.5983,-4.6956,7.8662,-1.0108
18.4000,220.6283,14.9214,220.9835,18.5333,3.6293,-4.7850,7.8593,-0.9777
18.6000,220.4817,13.0886,220.7965,16.7322,3.6572,-4.8733,7.8486,-0.9435
18.8000,220.3543,11.2429,220.6284,14.9146,3.6820,-4.9603,7.8342,-0.9083
19.0000,220.2462,9.3861,220.4794,13.0823,3.7036,-5.0459,7.8161,-0.8723
19.2000,220.1577,7.5200,220.3496,11.2370,3.7220,-5.1299,7.7942,-0.8354
19.4000,220.0888,5.6465,220.2391,9.3807,3.7372,-5.2123,7.7686,-0.7977
19.6000,220.0395,3.7674,220.1482,7.5151,3.7492,-5.2929,7.7394,-0.7593
19.8000,220.0099,1.8846,220.0768,5.6421,3.7580,-5.3716,7.7065,-0.7201
20.0000,220.0000,0.0000,220.0250,3.7635,3.7636,-5.4482,7.6699,-0.6803
20.2000,220.0099,-1.8846,219.9929,1.8813,3.7660,-5.5226,7.6298,-0.6400
20.4000,220.0395,-3.7674,219.9805,-0.0027,3.7652,-5.5947,7.5862,-0.5991
20.6000,220.0888,-5.6465,219.9879,-1.8866,3.7612,-5.6643,7.5392,-0.5578
20.8000,220.1577,-7.5200,220.0151,-3.7686,3.7541,-5.7315,7.4888,-0.5161
21.0000,220.2462,-9.3861,220.0620,-5.6468,3.7438,-5.7959,7.4351,-0.4740
21.2000,220.3543,-11.2429,220.1285,-7.5193,3.7304,-5.8577,7.3782,-0.4318
21.4000,220.4817,-13.0886,220.2147,-9.3843,3.7139,-5.9165,7.3181,-0.3893
21.6000,220.6283,-14.9214,220.3204,-11.2399,3.6943,-5.9725,7.2551,-0.3467
21.8000,220.7941,-16.7395,220.4456,-13.0844,3.6717,-6.0254,7.1892,-0.3041
22.0000,220.9789,-18.5410,220.5901,-14.9158,3.6460,-6.0752,7.1204,-0.2615
22.2000,221.1824,-20.3243,220.7538,-16.7323,3.6174,-6.1219,7.0490,-0.2190
22.4000,221.4045,-22.0875,220.9365,-18.5323,3.5859,-6.1653,6.9750,-0.1766
22.6000,221.6449,-23.8289,221.1381,-20.3138,3.5514,-6.2055,6.8985,-0.1345
22.8000,221.9035,-25.5468,221.3584,-22.0752,3.5141,-6.2424,6.8198,-0.0926
23.0000,222.1799,-27.2394,221.5970,-23.8146,3.4741,-6.2759,6.7388,-0.0511
23.2000,222.4739,-28.9052,221.8539,-25.5304,3.4313,-6.3061,6.6558,-0.0100
23.4000,222.7852,-30.5425,222.1288,-27.2210,3.3857,-6.3329,6.5709,0.0307
23.6000,223.1134,-32.1496,222.4213,-28.8845,3.3376,-6.3562,6.4841,0.0708
23.8000,223.4584,-33.7250,222.7312,-30.5195,3.2870,-6.3762,6.3958,0.1104
24.0000,223.8197,-35.2671,223.0582,-32.1242,3.2338,-6.3928,6.3059,0.1493
24.2000,224.1969,-36.7744,223.4020,-33.6972,3.1782,-6.4060,6.2146,0.1875
24.4000,224.5897,-38.2454,223.7622,-35.2368,3.1204,-6.4158,6.1221,0.2251
24.6000,224.9978,-39.6787,224.1385,-36.7415,3.0603,-6.4223,6.0284,0.2618
24.8000,225.4206,-41.0728,224.5304,-38.2100,2.9980,-6.4255,5.9339,0.2977
25.0000,225.8579,-42.4264,224.9377,-39.6407,2.9337,-6.4254,5.8385,0.3328
25.2000,226.3091,-43.7381,225.3599,-41.0322,2.8675,-6.4221,5.7424,0.3670
25.4000,226.7738,-45.0067,225.7965,-42.3832,2.7996,-6.4156,5.6458,0.4002
25.6000,227.2515,-46.2308,226.2472,-43.6923,2.7299,-6.4061,5.5487,0.4325
25.8000,227.7419,-47.4093,226.7114,-44.9583,2.6588,-6.3934,5.4514,0.4638
26.0000,228.2443,-48.5410,227.1889,-46.1799,2.5863,-6.3778,5.3540,0.4940
26.2000,228.7583,-49.6248,227.6789,-47.3560,2.5125,-6.3593,5.2565,0.5232
26.4000,229.2835,-50.6597,228.1811,-48.4853,2.4378,-6.3380,5.1592,0.5513
26.6000,229.8192,-51.6445,228.6950,-49.5667,2.3624,-6.3138,5.0621,0.5784
26.8000,230.3649,-52.5784,229.2201,-50.5993,2.2864,-6.2871,4.9654,0.6043
27.0000,230.9202,-53.4604,229.7557,-51.5820,2.2101,-6.2577,4.8692,0.6290
27.2000,231.4844,-54.2896,230.3015,-52.5138,2.1337,-6.2258,4.7736,0.6526
27.4000,232.0570,-55.0653,230.8568,-53.3938,2.0578,-6.1915,4.6788,0.6751
27.6000,232.6375,-55.7866,231.4212,-54.2211,1.9825,-6.1548,4.5849,0.6963
27.8000,233.2252,-56.4528,231.9940,-54.9950,1.9082,-6.1160,4.4920,0.7164
28.0000,233.8197,-57.0634,232.5746,-55.7147,1.8355,-6.0750,4.4001,0.7353
28.2000,234.4202,-57.6176,233.1626,-56.3794,1.7649,-6.0319,4.3096,0.7529
28.4000,235.0262,-58.1150,233.7572,-56.9886,1.6968,-5.9869,4.2203,0.7693
28.6000,235.6371,-58.5550,234.3580,-57.5415,1.6319,-5.9401,4.1325,0.7846
28.8000,236.2524,-58.9372,234.9644,-58.0378,1.5710,-5.8915,4.0462,0.7985
29.0000,236.8713,-59.2613,235.5756,-58.4768,1.5147,-5.8413,3.9616,0.8113
29.2000,237.4933,-59.5269,236.1912,-58.8582,1.4638,-5.7895,3.8788,0.8228
29.4000,238.1178,-59.7337,236.8105,-59.1816,1.4192,-5.7363,3.7979,0.8331
29.6000,238.7442,-59.8816,237.4329,-59.4467,1.3816,-5.6817,3.7189,0.8422
29.8000,239.3718,-59.9704,238.0577,-59.6531,1.3518,-5.6259,3.6420,0.8500
30.0000,240.0000,-60.0000,238.6845,-59.8008,1.3305,-5.5689,3.5672,0.8567
30.2000,240.6282,-59.9704,239.3125,-59.8894,1.3182,-5.5109,3.4947,0.8621
30.4000,241.2558,-59.8816,239.9411,-59.9190,1.3152,-5.4518,3.4245,0.8663
30.6000,241.8822,-59.7337,240.5697,-59.8896,1.3217,-5.3920,3.3567,0.8692
30.8000,242.5067,-59.5269,241.1977,-59.8012,1.3374,-5.3313,3.2915,0.8710
31.0000,243.1287,-59.2613,241.8245,-59.6537,1.3619,-5.2700,3.2288,0.8716
31.2000,243.7476,-58.9372,242.4496,-59.4471,1.3946,-5.2080,3.1687,0.8710
31.4000,244.3629,-58.5550,243.0719,-59.1826,1.4355,-5.1456,3.1114,0.8693
31.6000,244.9738,-58.1150,243.6913,-58.8594,1.4829,-5.0826,3.0568,0.8664
31.8000,245.5798,-57.6176,244.3070,-58.4781,1.5364,-5.0194,3.0051,0.8623
32.0000,246.1803,-57.0634,244.9183,-58.0391,1.5952,-4.9558,2.9563,0.8571
32.2000,246.7748,-56.4528,245.5248,-57.5429,1.6585,-4.8921,2.9104,0.8508
32.4000,247.3625,-55.7866,246.1258,-56.9900,1.7256,-4.8282,2.8674,0.8434
32.6000,247.9430,-55.0653,246.7206,-56.3808,1.7957,-4.7642,2.8275,0.8348
32.8000,248.5156,-54.2896,247.3088,-55.7160,1.8684,-4.7002,2.7906,0.8252
33.0000,249.0798,-53.4604,247.8897,-54.9962,1.9430,-4.6363,2.7567,0.8145
33.2000,249.6351,-52.5784,248.4627,-54.2222,2.0190,-4.5724,2.7260,0.8028
33.4000,250.1808,-51.6445,249.0273,-53.3946,2.0960,-4.5087,2.6982,0.7901
