t_s,ref_x_mm,ref_y_mm,pose_x_mm,pose_y_mm,err_mm,u1_mm,u2_mm,u3_mm
13.4000,229.8192,51.6445,231.0337,53.4305,2.1598,-2.5760,7.7235,-2.5201
13.6000,229.2835,50.6597,230.4792,52.5504,2.2371,-2.6585,7.8062,-2.5399
13.8000,228.7583,49.6248,229.9339,51.6183,2.3143,-2.7427,7.8875,-2.5587
14.0000,228.2443,48.5410,229.3985,50.6351,2.3911,-2.8287,7.9672,-2.5763
14.2000,227.7419,47.4093,228.8735,49.6019,2.4674,-2.9163,8.0451,-2.5928
14.4000,227.2515,46.2308,228.3593,48.5196,2.5428,-3.0054,8.1210,-2.6080
14.6000,226.7738,45.0067,227.8565,47.3892,2.6170,-3.0959,8.1949,-2.6219
14.8000,226.3091,43.7381,227.3655,46.2119,2.6899,-3.1878,8.2665,-2.6344
15.0000,225.8579,42.4264,226.8869,44.9889,2.7614,-3.2810,8.3358,-2.6456
15.2000,225.4206,41.0728,226.4211,43.7215,2.8313,-3.3753,8.4026,-2.6552
15.4000,224.9978,39.6787,225.9684,42.4103,2.8989,-3.4707,8.4667,-2.6633
15.6000,224.5897,38.2454,225.5294,41.0572,2.9646,-3.5671,8.5281,-2.6698
15.8000,224.1969,36.7744,225.1046,39.6634,3.0282,-3.6643,8.5865,-2.6747
16.0000,223.8197,35.2671,224.6942,38.2303,3.0896,-3.7623,8.6418,-2.6779
16.2000,223.4584,33.7250,224.2988,36.7593,3.1485,-3.8609,8.6940,-2.6793
16.4000,223.1134,32.1496,223.9186,35.2517,3.2049,-3.9600,8.7428,-2.6790
16.6000,222.7852,30.5425,223.5540,33.7091,3.2586,-4.0595,8.7882,-2.6768
16.8000,222.4739,28.9052,223.2055,32.1330,3.3097,-4.1593,8.8300,-2.6727
17.0000,222.1799,27.2394,222.8733,30.5250,3.3580,-4.2592,8.8681,-2.6667
17.2000,221.9035,25.5468,222.5577,28.8867,3.4034,-4.3591,8.9025,-2.6588
17.4000,221.6449,23.8289,222.2591,27.2197,3.4460,-4.4588,8.9329,-2.6489
17.6000,221.4045,22.0875,221.9778,25.5256,3.4856,-4.5582,8.9593,-2.6370
17.8000,221.1824,20.3243,221.7139,23.8063,3.5223,-4.6573,8.9817,-2.6231
18.0000,220.9789,18.5410,221.4679,22.0632,3.5560,-4.7557,8.9998,-2.6071
18.2000,220.7941,16.7395,221.2399,20.2984,3.5868,-4.8534,9.0137,-2.5891
18.4000,220.6283,14.9214,221.0301,18.5135,3.6145,-4.9503,9.0233,-2.5691
18.6000,220.4817,13.0886,220.8388,16.7102,3.6392,-5.0461,9.0285,-2.5470
18.8000,220.3543,11.2429,220.6662,14.8905,3.6609,-5.1407,9.0293,-2.5228
